,stop_code,stop_name,stop_lat,stop_lon,stop_change
0,10001,Southbound Osborne at Mulvey,49.87126079164335,-97.1395184825284,Unchanged
1,10002,Southbound Osborne at Glasgow,49.86881850124874,-97.13755263735648,Unchanged
2,10003,Southbound Osborne at Brandon,49.86787982449569,-97.13679549876352,Unchanged
3,10004,Southbound Osborne at Hethrington,49.866522026651005,-97.1357066180771,Removed
4,10005,Southbound Osborne at Morley,49.865163994792965,-97.1346038905436,Unchanged
5,10006,Southbound Osborne at Maplewood,49.86325019276681,-97.13306344112284,Unchanged
6,10007,Southbound Osborne at Ashland,49.86106287002816,-97.13129711504052,Unchanged
7,10008,Southbound Osborne at Jubilee,49.859814917782366,-97.13032952377256,Unchanged
8,10009,Southbound Osborne at Montague,49.857798129847104,-97.12854293933007,Unchanged
9,10010,Northbound Eccles at Clare,49.863344479060856,-97.1177808338334,Unchanged
10,10011,Northbound Eccles at Balfour,49.864088900118915,-97.11875381623238,Removed
11,10012,Southbound Eccles at Balfour,49.86411026941578,-97.11896171866242,Removed
12,10013,Southbound Eccles at Ashland,49.86476677227488,-97.1195067610404,Unchanged
13,10014,Northbound Eccles at Ashland,49.86512883405248,-97.1196457748323,Unchanged
14,10017,Northbound Eccles at Oakwood,49.866541392065265,-97.12077379976031,Unchanged
15,10018,Southbound Eccles at Oakwood,49.86665332932752,-97.12101994777562,Unchanged
16,10021,Northbound Eccles at Bartlet,49.86819059799425,-97.12207362695938,Unchanged
17,10022,Southbound Eccles at Bartlet,49.86828545625278,-97.12237611534658,Unchanged
18,10023,Northbound Eccles at Morley,49.86896507712801,-97.122683765846,Removed
19,10024,Eastbound Morley at Eccles,49.86884576657141,-97.12309198079828,Removed
20,10025,Westbound Morley at Mabel,49.86838896714752,-97.1248771124813,Unchanged
21,10026,Eastbound Morley at Mabel,49.86816806156839,-97.12512225063858,Unchanged
22,10027,Westbound Morley at Fisher,49.867737298197554,-97.12685066430342,Removed
23,10028,Eastbound Morley at Fisher,49.86743885884135,-97.12730753574589,Removed
24,10029,Westbound Morley at Casey,49.8668532204428,-97.12947329217964,Unchanged
25,10030,Eastbound Morley at Casey,49.86676961806647,-97.12930952663837,Unchanged
26,10031,Eastbound Morley at Hay,49.86626350639666,-97.130832018601,Removed
27,10032,Westbound Morley at Hay,49.86608977178946,-97.13177110064656,Removed
28,10033,Westbound Morley at Osborne,49.86531795958643,-97.13411090553032,Removed
29,10034,Eastbound Morley at Osborne,49.865225598472506,-97.13396139049556,Removed
30,10035,Westbound Morley at Nassau,49.864056527892096,-97.13788885364536,Unchanged
31,10036,Eastbound Morley at Nassau,49.86376658562313,-97.13831746375344,Unchanged
32,10037,Westbound Morley at Daly,49.86308699048547,-97.1408065758905,Unchanged
33,10038,Northbound Daly at Morley (95 to Riverview via Ft Rouge Station),49.86282651776286,-97.14083049052864,Removed
34,10039,Southbound Daly at Kylemore,49.86137098968443,-97.13981493409268,Unchanged
35,10040,Northbound Daly at Kylemore,49.86110425861084,-97.13944948419524,Unchanged
36,10041,Eastbound Rathgar at Daly,49.859879047722984,-97.13877300818372,Unchanged
37,10042,Southbound Daly at Beresford,49.8593934337199,-97.13822119004028,Unchanged
38,10043,Westbound Beresford at Cockburn,49.857908237494435,-97.1420767146433,Unchanged
39,10044,Northbound Cockburn at Rathgar,49.85851248257484,-97.14273531657744,Removed
40,10045,Southbound Cockburn at Rosedale,49.85699426711564,-97.1417361082822,Removed
41,10046,Northbound Cockburn at Rosedale,49.857336985691546,-97.1417925281746,Removed
42,10047,Southbound Cockburn at Jubilee,49.85621067256511,-97.14111224788108,Removed
43,10048,Northbound Cockburn at Jubilee,49.856343728884,-97.14099583595284,Removed
44,10049,Westbound Jubilee at Riverdale,49.85532090632452,-97.14340028869884,Removed
45,10050,Eastbound Jubilee at Riverdale,49.85544147094654,-97.14250523719168,Removed
46,10051,Westbound Jubilee at Lilac,49.85477099142812,-97.14500742201072,Removed
47,10052,Eastbound Jubilee at Lilac,49.85465122999685,-97.14483114215784,Removed
48,10053,Eastbound Jubilee at Riverside,49.85419617138107,-97.14618418007232,Removed
49,10054,Westbound Jubilee at Riverside,49.85426444286292,-97.14651547081624,Removed
50,10055,Westbound Jubilee at Riverside West,49.85370727385865,-97.14823410995984,Removed
51,10056,Eastbound Jubilee at Riverside West,49.853294772790775,-97.14887593322446,Removed
52,10057,Northbound Osborne at Wavell,49.85808421877715,-97.128434489488,Unchanged
53,10058,Northbound Osborne at Jubilee,49.860128650723894,-97.13026175549768,Unchanged
54,10059,Northbound Osborne at Baltimore,49.86177820225123,-97.13158955493624,Unchanged
55,10060,Northbound Osborne at Maplewood,49.86331874363638,-97.13285206958416,Unchanged
56,10061,Northbound Osborne at Morley,49.86508647491589,-97.13425898259815,Unchanged
57,10062,Northbound Osborne at Hethrington,49.86663575367936,-97.13550741262756,Removed
58,10063,Northbound Osborne at Brandon,49.868185019459986,-97.1367559215614,Unchanged
59,10064,Northbound Osborne at Glasgow,49.86910549368015,-97.13749984727306,Unchanged
60,10065,Northbound Osborne at Mulvey,49.87193947531293,-97.13977075612964,Unchanged
61,10066,Northbound Osborne at Osborne Junction,49.875128246779894,-97.14229276290868,Unchanged
62,10067,Southbound Osborne at Osborne Junction,49.87466012253285,-97.14226897185502,Unchanged
63,10068,Southbound Pembina at Osborne Junction,49.87456972006579,-97.142801343363,Unchanged
64,10070,Southbound Pembina at Warsaw,49.8718722879166,-97.14399040241452,Unchanged
65,10071,Northbound Pembina at Nassau,49.87101605281816,-97.1438840520329,Unchanged
66,10072,Southbound Pembina at Fleet,49.869597348869625,-97.14516313949728,Unchanged
67,10073,Northbound Pembina at Daly,49.868433835110814,-97.14552779552844,Unchanged
68,10075,Southbound Pembina at Scotland,49.8657527058665,-97.14717514414842,Unchanged
69,10076,Northbound Pembina at Scotland,49.8659332479856,-97.14665334451614,Unchanged
70,10077,Northbound Pembina at Grant,49.8643694281962,-97.14729764710935,Unchanged
71,10078,Southbound Pembina at Grant,49.8642333855791,-97.1477898943185,Unchanged
72,10079,Southbound Pembina at Arbuthnot,49.86256791196633,-97.14882764298224,Removed
73,10080,Northbound Pembina at Arbuthnot,49.86264058739672,-97.14831000850648,Removed
74,10081,Southbound Pembina at Ebby,49.86088533775143,-97.14992162993975,Unchanged
75,10082,Northbound Pembina at Jackson,49.85965643356954,-97.1501355412721,Unchanged
76,10083,Northbound Pembina at Taylor,49.858382256498274,-97.15089380848178,Removed
77,10085,Northbound Pembina at Stafford,49.85652863546824,-97.15198023704131,Unchanged
78,10086,Southbound Pembina at Stafford,49.85689310303675,-97.15227242676562,Unchanged
79,10087,Northbound Stafford at Stafford Loop,49.8573982958364,-97.15236446419968,Unchanged
80,10088,Southbound Stafford at Taylor,49.85809071169907,-97.15347897808635,Removed
81,10089,Northbound Stafford at Ebby,49.85930729462343,-97.15418395854036,Unchanged
82,10090,Southbound Stafford at Ebby,49.85936655401476,-97.15451563846484,Unchanged
83,10091,Northbound Stafford at Carter,49.86068334625883,-97.1553003325384,Removed
84,10092,Southbound Stafford at Carter,49.86061497536657,-97.15552556781051,Removed
85,10093,Northbound Stafford at Grant,49.862086577811525,-97.1564296490461,Removed
86,10094,Southbound Stafford at Grant,49.86224648824648,-97.15686883921958,Unchanged
87,10095,Northbound Stafford at Lorette,49.863408228171195,-97.15752038775958,Removed
88,10096,Southbound Stafford at Dudley,49.863385465150394,-97.15778564341193,Removed
89,10097,Northbound Stafford at Fleet,49.86508510920402,-97.15888990766324,Unchanged
90,10098,Southbound Stafford at Fleet,49.865217157104595,-97.15927452879126,Unchanged
91,10099,Northbound Stafford at Warsaw,49.8664788751777,-97.15999195447144,Unchanged
92,10100,Southbound Stafford at Warsaw,49.86650149684253,-97.16028333374211,Unchanged
93,10101,Northbound Stafford at Corydon,49.86798183214363,-97.16117341609116,Unchanged
94,10102,Southbound Stafford at Corydon,49.86817768362978,-97.16161131012193,Unchanged
95,10103,Northbound Stafford at Dorchester,49.86955801927465,-97.1624356724031,Removed
96,10104,Southbound Stafford at Dorchester,49.86972667652312,-97.1628607003537,Removed
97,10105,Northbound Stafford at Grosvenor,49.87045048177888,-97.16312549874168,Removed
98,10106,Northbound Stafford at Harvard,49.872392629447205,-97.16477762196722,Removed
99,10107,Southbound Stafford at Harvard,49.872388491041306,-97.16508397094128,Removed
100,10108,Northbound Stafford at Kingsway,49.873368409988906,-97.1656174721763,Unchanged
101,10109,Southbound Stafford at Kingsway,49.87344605767615,-97.16597640125816,Unchanged
102,10110,Southbound Stafford at Academy,49.87458562578229,-97.16693535697904,Removed
103,10111,Northbound Stafford at Academy,49.87477220526549,-97.16678910690614,Removed
104,10112,Eastbound Academy at Stafford,49.87480688343775,-97.1672749417157,Removed
105,10113,Westbound Academy at Stafford,49.87490973342276,-97.16752158170203,Removed
106,10114,Eastbound Academy at Wellington Crescent,49.87692410978963,-97.16294944695169,Unchanged
107,10115,Westbound Academy at Wellington Crescent,49.877233288611016,-97.16316042060242,Unchanged
108,10116,Westbound Grosvenor at Arbuthnot,49.87240623915281,-97.15770684705406,Removed
109,10117,Eastbound Grosvenor at Arbuthnot,49.87253678672985,-97.15686680669614,Unchanged
110,10118,Eastbound Grosvenor at Lilac,49.871833949164035,-97.1590508032336,Unchanged
111,10119,Westbound Grosvenor at Ruskin,49.87181427959084,-97.15951083411672,Unchanged
112,10120,Westbound Grosvenor at Wentworth,49.871264587915185,-97.16114616124996,Removed
113,10121,Eastbound Grosvenor at Wentworth,49.87109533198359,-97.16125001191452,Removed
114,10122,Westbound Grosvenor at Stafford,49.87048385086711,-97.1635278337842,Removed
115,10123,Eastbound Grosvenor at Stafford,49.870391747814246,-97.16339215480494,Removed
116,10124,Westbound Grosvenor at Harrow,49.869874260178584,-97.1653601786066,Removed
117,10125,Westbound Corydon at Harrow,49.86747977080107,-97.16354435612362,Unchanged
