councillor,number,name,phone,asst,asst_phone,community,clerk,clerk_phon,website,10min-rapid-access-2024_area,10min-rapid-access-2024_pc,15min-rapid-access-2024_area,15min-rapid-access-2024_pc
John Orlikow,8,River Heights - Fort Garry,204-986-5236,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/river-heights-fort-garry,9056748.77046026,39.0486667276693,13103202.3231896,56.4951721143358
Matt Allard,12,St. Boniface,204-396-4636,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-boniface,777916.139518473,3.07700755098804,3131106.94215703,12.384933561003
Vacant,14,Elmwood - East Kildonan,204-986-5195,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/elmwood-east-kildonan,6346946.20619912,44.3109865602072,8396867.44243415,58.622441139667
Ross Eadie,2,Mynarski,204-986-5188,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/mynarski,7020272.95359724,48.1317648619549,9913412.91143706,67.9674511784133
Brian Mayes,11,St. Vital,204-986-5088,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-vital,148144.739855123,0.593195508043807,992194.112464053,3.97290576227527
Russ Wyatt,13,Transcona,204-986-8087,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/transcona,3495958.4034265,7.65336358060452,6451677.83149972,14.1240342279237
Jeff Browaty,15,North Kildonan,204-986-5196,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/north-kildonan,3485188.49475298,17.2155405591873,4895128.92329798,24.1801241592415
Evan Duncan,7,Charleswood - Tuxedo - Westwood,204-986-5232,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/charleswood-tuxedo,3682877.11664865,5.17432537558556,6705614.25675039,9.42117505108766
Sherri Rollins,9,Fort Rouge - East Fort Garry,204-986-5878,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/fort-rouge-east-fort-garry,8596323.81803974,61.2535912446287,10528059.3218186,75.0182817618581
Devi Sharma,1,Old Kildonan,204-986-5264,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/old-kildonan,3717954.48314902,10.9572075654963,5599136.03498645,16.5012498138046
Markus Chambers,10,St. Norbert - Seine River,204-986-5920,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-norbert-seine-river,5804264.57936407,7.02667961226611,8734459.72585811,10.5739924913228
Vivian Santos,3,Point Douglas,204-986-8401,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/point-douglas,2120908.6605163,9.11781442624706,2705217.53897934,11.6297660348268
Shawn Dobson,5,St. James,204-986-5848,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-james,8494054.75721411,17.6307032443194,12082846.8423282,25.0797873468759
Cindy Gilroy,4,Daniel McIntyre,204-986-5951,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/daniel-mcintyre,4349850.02311285,50.9955722300963,5732491.93290271,67.2050081886697
Janice Lukes,6,Waverley West,204-986-6824,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/waverley-west,4184772.43104528,16.483390983434,6104489.11039933,24.0449588164806
