councillor,number,name,phone,asst,asst_phone,community,clerk,clerk_phon,website,15min-rapid-access-2025_area,15min-rapid-access-2025_pc,rapid-access-2025 — rapid-access_area,rapid-access-2025 — rapid-access_pc
John Orlikow,8.0000000000000000000000000000000,River Heights - Fort Garry,204-986-5236,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/river-heights-fort-garry,11960087.4448414,51.5665699142122,8223801.71980855,35.4573700485806
Matt Allard,12.0000000000000000000000000000000,St. Boniface,204-396-4636,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-boniface,18014091.1754669,71.2538174171439,12447935.4208771,49.2371726699992
Vacant,14.0000000000000017763568394002505,Elmwood - East Kildonan,204-986-5195,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/elmwood-east-kildonan,12082101.7575882,84.3507777136422,9518741.92260608,66.4547692228299
Ross Eadie,2.0000000000000000000000000000000,Mynarski,204-986-5188,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/mynarski,14330338.1837798,98.2503775014264,12748984.6046558,87.4084431297712
Brian Mayes,11.0000000000000000000000000000000,St. Vital,204-986-5088,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-vital,17719777.9660627,70.9528580176485,13991102.7693319,56.0226392341933
Russ Wyatt,13.0000000000000000000000000000000,Transcona,204-986-8087,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/transcona,12719686.0453711,27.8459783277033,7515477.73424757,16.4529084573085
Jeff Browaty,15.0000000000000000000000000000000,North Kildonan,204-986-5196,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/north-kildonan,13631278.9598148,67.3334702440306,9253503.94129468,45.7088827923635
Evan Duncan,7.0000000000000008881784197001252,Charleswood - Tuxedo - Westwood,204-986-5232,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/charleswood-tuxedo,15283337.8432263,21.4726042496403,8761089.31457181,12.3090522225766
Sherri Rollins,9.0000000000000000000000000000000,Fort Rouge - East Fort Garry,204-986-5878,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/fort-rouge-east-fort-garry,13280105.0354313,94.62813904462,10528110.6788696,75.0186477094278
Devi Sharma,1.0000000000000000000000000000000,Old Kildonan,204-986-5264,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/old-kildonan,7017807.91961439,20.6822268477236,4642628.07062196,13.6823190412269
Markus Chambers,9.9999999999999982236431605997495,St. Norbert - Seine River,204-986-5920,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-norbert-seine-river,16224403.4973369,19.6413660537174,11425476.0963236,13.8317540230509
Vivian Santos,3.0000000000000000000000000000000,Point Douglas,204-986-8401,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/point-douglas,9667274.00943267,41.5597390244195,7341282.82041378,31.5602720915072
Shawn Dobson,4.9999999999999991118215802998748,St. James,204-986-5848,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/st-james,15462343.5095706,32.0944469597909,10489877.4893206,21.7733370421708
Cindy Gilroy,4.0000000000000000000000000000000,Daniel McIntyre,204-986-5951,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/daniel-mcintyre,7095949.41357766,83.1895350272909,5395823.97087696,63.2580731716419
Janice Lukes,6.0000000000000000000000000000000,Waverley West,204-986-6824,,,,,,https://winnipeg.ca/council/wards/#/ward/2022/waverley-west,6025495.46059134,23.733810901881,4132736.48394869,16.2784267051322
