,route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,is_freq
0,BLUE,1,5,University of Manitoba,1,1-1-1,3397,1,True
1,BLUE,1,6,Unicity Shopping Centre,0,1-1-1,3396,1,True
2,BLUE,1,7,University of Manitoba,1,1-1-1,3397,1,True
3,F8,1,8,Downtown,0,1-1-1,3458,1,True
4,F8,1,9,University of Manitoba,1,1-1-1,3459,1,True
5,BLUE,1,10,Unicity Shopping Centre,0,1-1-1,3396,1,True
6,BLUE,1,11,St. Norbert,1,1-1-1,3393,1,True
7,BLUE,1,12,Unicity Shopping Centre,0,1-1-1,3392,1,True
8,BLUE,1,13,University of Manitoba,1,1-1-1,3397,1,True
9,BLUE,1,14,Unicity Shopping Centre,0,1-1-1,3396,1,True
10,BLUE,1,15,University of Manitoba,1,1-1-1,3397,1,True
11,BLUE,1,18,St. Norbert,1,1-1-2,3393,1,True
12,BLUE,1,19,Unicity Shopping Centre,0,1-1-2,3392,1,True
13,BLUE,1,20,University of Manitoba,1,1-1-2,3397,1,True
14,BLUE,1,23,St. Norbert,1,1-1-3,3393,1,True
15,BLUE,1,24,Downtown,0,1-1-3,3394,1,True
16,BLUE,1,27,University of Manitoba,1,1-1-3,3397,1,True
17,BLUE,1,28,Unicity Shopping Centre,0,1-1-3,3396,1,True
18,BLUE,1,29,St. Norbert,1,1-1-3,3393,1,True
19,BLUE,1,30,Unicity Shopping Centre,0,1-1-3,3392,1,True
20,BLUE,1,31,University of Manitoba,1,1-1-3,3397,1,True
21,BLUE,1,32,Unicity Shopping Centre,0,1-1-3,3396,1,True
22,BLUE,1,33,University of Manitoba,1,1-1-3,3397,1,True
23,BLUE,1,34,Unicity Shopping Centre,0,1-1-3,3396,1,True
24,BLUE,1,35,University of Manitoba,1,1-1-3,3397,1,True
25,885,1,38,Unicity,0,1-1-4,3375,1,False
26,885,1,39,Windmill & Dale,1,1-1-4,3376,1,False
27,885,1,40,Unicity,0,1-1-4,3375,1,False
28,BLUE,1,41,University of Manitoba,1,1-1-4,3397,1,True
29,BLUE,1,42,Unicity Shopping Centre,0,1-1-4,3396,1,True
30,BLUE,1,43,St. Norbert,1,1-1-4,3393,1,True
31,BLUE,1,44,Unicity Shopping Centre,0,1-1-4,3392,1,True
32,BLUE,1,45,University of Manitoba,1,1-1-4,3397,1,True
33,BLUE,1,46,Unicity Shopping Centre,0,1-1-4,3396,1,True
34,BLUE,1,47,University of Manitoba,1,1-1-4,3397,1,True
35,BLUE,1,48,Unicity Shopping Centre,0,1-1-4,3396,1,True
36,BLUE,1,49,St. Norbert,1,1-1-4,3393,1,True
37,BLUE,1,50,Unicity Shopping Centre,0,1-1-4,3392,1,True
38,BLUE,1,51,St. Norbert,1,1-1-4,3393,1,True
39,BLUE,1,52,Unicity Shopping Centre,0,1-1-4,3392,1,True
40,BLUE,1,53,University of Manitoba,1,1-1-4,3397,1,True
41,BLUE,1,54,Unicity Shopping Centre,0,1-1-4,3396,1,True
42,BLUE,1,57,St. Norbert,1,1-1-5,3391,1,True
43,BLUE,1,58,Unicity Shopping Centre,0,1-1-5,3392,1,True
44,BLUE,1,59,St. Norbert,1,1-1-5,3393,1,True
45,BLUE,1,60,Unicity Shopping Centre,0,1-1-5,3392,1,True
46,BLUE,1,61,University of Manitoba,1,1-1-5,3397,1,True
47,BLUE,1,62,Unicity Shopping Centre,0,1-1-5,3396,1,True
48,BLUE,1,63,St. Norbert,1,1-1-5,3393,1,True
49,BLUE,1,64,Unicity Shopping Centre,0,1-1-5,3392,1,True
50,BLUE,1,65,St. Norbert,1,1-1-5,3393,1,True
51,BLUE,1,68,University of Manitoba,1,1-1-6,3400,1,True
52,BLUE,1,69,Unicity Shopping Centre,0,1-1-6,3396,1,True
53,BLUE,1,70,St. Norbert,1,1-1-6,3393,1,True
54,BLUE,1,71,Downtown,0,1-1-6,3394,1,True
55,BLUE,1,75,St. Norbert,1,1-1-7,3393,1,True
56,BLUE,1,76,Unicity Shopping Centre,0,1-1-7,3392,1,True
57,BLUE,1,77,University of Manitoba,1,1-1-7,3397,1,True
58,BLUE,1,80,St. Norbert,1,1-1-8,3402,1,True
59,BLUE,1,81,Unicity Shopping Centre,0,1-1-8,3392,1,True
60,BLUE,1,82,University of Manitoba,1,1-1-8,3397,1,True
61,BLUE,1,83,Unicity Shopping Centre,0,1-1-8,3396,1,True
62,BLUE,1,84,St. Norbert,1,1-1-8,3393,1,True
63,BLUE,1,85,Unicity Shopping Centre,0,1-1-8,3392,1,True
64,BLUE,1,86,University of Manitoba,1,1-1-8,3397,1,True
65,BLUE,1,87,Unicity Shopping Centre,0,1-1-8,3396,1,True
66,BLUE,1,88,University of Manitoba,1,1-1-8,3397,1,True
67,BLUE,1,89,Unicity Shopping Centre,0,1-1-8,3396,1,True
68,BLUE,1,92,St. Norbert,1,1-1-9,3391,1,True
