stop_id,stop_name,route_id,n_departures,mean_headway,geometry
10132,Southbound Vaughan at Portage,BLUE,134,322,"c(-97.1498221335082, 49.891529842296)"
10134,Southbound Vaughan at Graham (The Bay),BLUE,134,322,"c(-97.1493646863917, 49.8907489587995)"
10611,Eastbound Graham at Fort (Wpg Square),BLUE,134,322,"c(-97.1389651327036, 49.8928939605613)"
10615,Eastbound Graham at Smith,BLUE,134,322,"c(-97.1415215219745, 49.8923143729577)"
10616,Eastbound Graham at Hargrave,BLUE,134,322,"c(-97.1441345452964, 49.8917086518378)"
10618,Eastbound Graham at Edmonton (RWB),BLUE,134,322,"c(-97.1467325568193, 49.8911296165296)"
10639,Southbound Main at St. Mary,BLUE,134,322,"c(-97.1364347461512, 49.8913510839737)"
10641,Southbound Main at Broadway (Union Station),BLUE,134,322,"c(-97.1347440192245, 49.8882565476378)"
11031,Southbound Southwest Transitway at Fort Rouge Station,BLUE,134,322,"c(-97.1457723432188, 49.8624110649618)"
11033,Southbound Southwest Transitway at Jubilee Station,BLUE,134,322,"c(-97.1503147451873, 49.8556924745347)"
61203,Southbound Southwest Transitway at Beaumont Station,BLUE,134,322,"c(-97.1662493979797, 49.8485970723499)"
61205,Southbound Southwest Transitway at Seel Station,BLUE,134,322,"c(-97.168701139055, 49.8422493957147)"
61207,Southbound Southwest Transitway at Clarence Station,BLUE,134,322,"c(-97.161793207969, 49.833684504734)"
10159,Southbound Queen Elizabeth at Stradbrook,BLUE,133,325,"c(-97.1320857490975, 49.8839050593692)"
10831,Northbound Balmoral at Balmoral Station (BLUE),BLUE,133,325,"c(-97.1524958469965, 49.8915185733863)"
10838,Northbound Balmoral at Ellice,BLUE,133,325,"c(-97.1524682233506, 49.892606529192)"
11027,Southbound Southwest Transitway at Harkness Station,BLUE,133,325,"c(-97.1354506707884, 49.8807570744673)"
11029,Southbound Southwest Transitway at Osborne Station,BLUE,133,325,"c(-97.1410970220562, 49.8732830550562)"
61209,Southbound Southwest Transitway at Chevrier Station,BLUE,133,325,"c(-97.1587352109504, 49.8299838827748)"
61211,Southbound Southwest Transitway at Plaza Station,BLUE,133,325,"c(-97.156207822747, 49.821848048895)"
61213,Southbound Southwest Transitway at Chancellor Station,BLUE,133,325,"c(-97.1569981565993, 49.8138549880197)"
10831,Northbound Balmoral at Balmoral Station (BLUE),BLUE,118,366,"c(-97.1524958469965, 49.8915185733863)"
10545,Westbound Portage at Colony,BLUE,117,369,"c(-97.1505445058762, 49.8912085696212)"
10617,Westbound Graham at Edmonton (RWB),BLUE,117,369,"c(-97.1464477190167, 49.8912959615501)"
10619,Westbound Graham at Vaughan (The Bay),BLUE,117,369,"c(-97.1490046259873, 49.8906982270866)"
10157,Eastbound Mayfair at Queen Elizabeth,BLUE,116,372,"c(-97.1331202124249, 49.8845154204047)"
10612,Westbound Graham at Garry (Wpg Square),BLUE,116,372,"c(-97.1397902750134, 49.8927992825583)"
10614,Westbound Graham at Donald (Canada Life Centre),BLUE,116,372,"c(-97.1424729202096, 49.8921947176353)"
10624,Northbound Main at Assiniboine,BLUE,116,372,"c(-97.1334895269339, 49.886851091144)"
10625,Northbound Main at Broadway (Union Station),BLUE,116,372,"c(-97.1348586067014, 49.8892568426911)"
11028,Northbound Southwest Transitway at Harkness Station,BLUE,116,372,"c(-97.1349015350505, 49.8809191335515)"
11030,Northbound Southwest Transitway at Osborne Station,BLUE,116,372,"c(-97.1407239809596, 49.8735739001523)"
11032,Northbound Southwest Transitway at Fort Rouge Station,BLUE,116,372,"c(-97.14509636033, 49.8629849125128)"
11034,Northbound Southwest Transitway at Jubilee Station,BLUE,116,372,"c(-97.1496854327938, 49.8561411638201)"
61202,Northbound Southwest Transitway at Beaumont Station,BLUE,115,376,"c(-97.1654375989569, 49.8487281282694)"
61204,Northbound Southwest Transitway at Seel Station,BLUE,115,376,"c(-97.169197789099, 49.8430937947538)"
61206,Northbound Southwest Transitway at Clarence Station,BLUE,115,376,"c(-97.1622767769082, 49.8345017426008)"
61208,Northbound Southwest Transitway at Chevrier Station,BLUE,115,376,"c(-97.1589791197448, 49.8305184739466)"
61210,Northbound Southwest Transitway at Plaza Station,BLUE,115,376,"c(-97.1560073651287, 49.8223665709738)"
61212,Northbound Southwest Transitway at Chancellor Station,BLUE,115,376,"c(-97.1567092689269, 49.815604434414)"
10628,Northbound Main at McDermot,21,85,508,"c(-97.1385990236253, 49.8969808091659)"
10629,Northbound Main at James (Concert Hall),21,85,508,"c(-97.1378182161232, 49.8999006275648)"
10565,Eastbound Portage at Craig,21,84,514,"c(-97.1898931906784, 49.8822328443376)"
10579,Eastbound Portage at Balmoral (U of Winnipeg),21,84,514,"c(-97.153099267864, 49.8899360842346)"
10580,Eastbound Portage at Vaughan (The Bay),21,84,514,"c(-97.1496953620316, 49.8912039955087)"
10581,Eastbound Portage at Edmonton (Portage Place),21,84,514,"c(-97.1475757966116, 49.8920156297992)"
10582,Eastbound Portage at Donald (Canada Life Centre),21,84,514,"c(-97.1435788807498, 49.8934897514105)"
10583,Eastbound Portage at Fort,21,84,514,"c(-97.1400478565572, 49.8947913212515)"
10800,Eastbound Pacific at Martha,21,84,514,"c(-97.1357412103694, 49.900676750606)"
10562,Eastbound Portage at Tylehurst (Polo Park),21,83,520,"c(-97.1995667547574, 49.8803958016775)"
10573,Eastbound Portage at Arlington,21,83,520,"c(-97.1695611974742, 49.8853852169036)"
10576,Eastbound Portage at Maryland,21,83,520,"c(-97.1606431976751, 49.8877984462389)"
10577,Eastbound Portage at Sherbrook,21,83,520,"c(-97.1584768584487, 49.8883846611153)"
20270,Eastbound Portage at Olive,21,83,520,"c(-97.2561900142342, 49.8750830025752)"
20272,Eastbound Portage at Whytewold,21,83,520,"c(-97.2548073233072, 49.8752150821217)"
20273,Eastbound Portage at Vernon,21,83,520,"c(-97.2529629672861, 49.8754121391035)"
20274,Eastbound Portage at Strathmillan,21,83,520,"c(-97.2507161513359, 49.8755761015219)"
20281,Eastbound Portage at Deer Lodge,21,83,520,"c(-97.2273401851993, 49.8780359596222)"
20282,Eastbound Portage at Albany,21,83,520,"c(-97.2258543572561, 49.8783190282863)"
20283,Eastbound Portage at Amherst,21,83,520,"c(-97.2228865621538, 49.8783994391417)"
20284,Eastbound Portage at Rutland,21,83,520,"c(-97.2208945566411, 49.8784408036259)"
20285,Eastbound Portage at Ferry,21,83,520,"c(-97.2190976421952, 49.87847614007)"
20286,Eastbound Portage at Roseberry,21,83,520,"c(-97.2165902395138, 49.8785274906277)"
20287,Eastbound Portage at Riveroaks,21,83,520,"c(-97.2141103244815, 49.8785882057618)"
20288,Eastbound Portage at Cavell,21,83,520,"c(-97.2118258315613, 49.8786338963794)"
20289,Eastbound Portage at King Edward,21,83,520,"c(-97.2093130958191, 49.8788289262988)"
20290,Eastbound Portage at Garden,21,83,520,"c(-97.2069086374995, 49.8791065336135)"
20291,Eastbound Portage at Kintyre,21,83,520,"c(-97.2036862600558, 49.8796682370459)"
20262,Eastbound Portage at Sturgeon,21,82,527,"c(-97.2786457160217, 49.8792418953401)"
20263,Eastbound Portage at Oakdean,21,82,527,"c(-97.276465502678, 49.8787057448564)"
20264,Eastbound Portage at Woodhaven,21,82,527,"c(-97.2729746095716, 49.8778441818897)"
20265,Eastbound Portage at Old Mill,21,82,527,"c(-97.270517254402, 49.8772767992744)"
20266,Eastbound Portage at Windham,21,82,527,"c(-97.2662846964424, 49.8761430983039)"
20268,Eastbound Portage at Ainslie,21,82,527,"c(-97.2614599805926, 49.8748384414141)"
20269,Eastbound Portage at Rita,21,82,527,"c(-97.2577545104132, 49.8749266577156)"
20275,Eastbound Portage at Mount Royal West,21,82,527,"c(-97.2488329601999, 49.8756915512516)"
20276,Eastbound Portage at Mount Royal,21,82,527,"c(-97.245637559732, 49.8759130225516)"
20277,Eastbound Portage at Conway,21,82,527,"c(-97.2412780370898, 49.8763775807663)"
20278,Eastbound Portage at Sharp,21,82,527,"c(-97.2384125058261, 49.8767118026172)"
20279,Eastbound Portage at Woodlawn (Deer Lodge Centre),21,82,527,"c(-97.234752351392, 49.8770788148505)"
20418,Eastbound Portage at Overdale (Assiniboine Park),21,82,527,"c(-97.2311907240756, 49.8770334481041)"
60026,Southbound Pembina at De Vos,BLUE,78,554,"c(-97.156969748128, 49.7794661025086)"
60058,Southbound Pembina at Cloutier South,BLUE,78,554,"c(-97.1566118316012, 49.7735235864628)"
60118,Southbound Pembina at Dartmouth (Victoria Hospital),BLUE,78,554,"c(-97.1552467070264, 49.8065410262425)"
60122,Eastbound Markham at Pembina,BLUE,78,554,"c(-97.1546104055026, 49.8086537302609)"
61217,Southbound Southwest Transitway at Markham Station,BLUE,78,554,"c(-97.1575334497144, 49.8081785951589)"
62007,Southbound Pembina at Grandmont,BLUE,78,554,"c(-97.1569426157886, 49.7710281976531)"
10545,Westbound Portage at Colony,21,77,561,"c(-97.1505445058762, 49.8912085696212)"
10546,Westbound Portage at Spence (U of W),21,77,561,"c(-97.1538350169732, 49.8899927951653)"
10561,Westbound Portage at Tylehurst (Polo Park),21,77,561,"c(-97.1991475849058, 49.8808120464002)"
20200,Westbound Portage at Century,21,77,561,"c(-97.2040525402192, 49.8799257795556)"
20201,Westbound Portage at Queen,21,77,561,"c(-97.2075422512777, 49.87928725051)"
20205,Westbound Portage at Berry,21,77,561,"c(-97.211228586935, 49.8789754739748)"
20206,Westbound Portage at Marjorie,21,77,561,"c(-97.2144210061553, 49.8788448575017)"
20207,Westbound Portage at Collegiate,21,77,561,"c(-97.2175693580343, 49.8787764391779)"
20208,Westbound Portage at Inglewood,21,77,561,"c(-97.2196031138393, 49.8787357740842)"
20209,Westbound Portage at Amherst,21,77,561,"c(-97.2223195316657, 49.8786785727551)"
20210,Westbound Portage at Albany,21,77,561,"c(-97.2252300494983, 49.8786422732065)"
20219,Westbound Portage at Traill,21,77,561,"c(-97.2486688804897, 49.8759948977933)"
20220,Westbound Portage at Strathmillan,21,77,561,"c(-97.2511667713329, 49.875816778127)"
20221,Westbound Portage at Whytewold,21,77,561,"c(-97.2545594921053, 49.8755261693284)"
20222,Westbound Portage at Rita,21,77,561,"c(-97.2586380171975, 49.8751288438536)"
20223,Westbound Portage at Moray,21,77,561,"c(-97.2626602654768, 49.8755220853053)"
20224,Westbound Portage at Aldine,21,77,561,"c(-97.2646337636455, 49.8759924351641)"
20225,Westbound Portage at Thompson,21,77,561,"c(-97.2665775465561, 49.876516275837)"
20226,Westbound Portage at Harcourt,21,77,561,"c(-97.2695554215166, 49.8773163971498)"
20227,Westbound Portage at Ronald,21,77,561,"c(-97.2721341226719, 49.8779935504917)"
