stop_id,route_id,direction_id,service_id,n_departures,mean_headway
10001,16,1,2,60,720
10002,16,1,2,59,732
10003,16,1,2,59,732
10004,16,1,2,59,732
10005,16,1,2,59,732
10005,58,0,2,10,4320
10006,16,1,2,59,732
10007,16,1,2,59,732
10008,16,1,2,59,732
10009,16,1,2,59,732
10009,58,0,2,10,4320
10010,95,0,2,16,2700
10010,95,1,2,16,2700
10011,95,0,2,16,2700
10012,95,1,2,16,2700
10013,95,1,2,16,2700
10014,95,0,2,16,2700
10017,95,0,2,16,2700
10018,95,1,2,16,2700
10021,95,0,2,16,2700
10022,95,1,2,16,2700
10023,95,0,2,16,2700
10024,95,1,2,16,2700
10025,95,0,2,16,2700
10026,95,1,2,16,2700
10027,95,0,2,16,2700
10028,95,1,2,16,2700
10029,95,0,2,16,2700
10030,95,1,2,16,2700
10031,95,1,2,16,2700
10032,95,0,2,16,2700
10033,95,0,2,16,2700
10034,95,1,2,16,2700
10035,95,0,2,16,2700
10036,95,1,2,16,2700
10037,95,0,2,16,2700
10038,95,1,2,16,2700
10039,95,0,2,16,2700
10040,95,1,2,16,2700
10041,95,1,2,16,2700
10042,95,0,2,16,2700
10043,95,0,2,16,2700
10044,95,1,2,16,2700
10045,95,0,2,16,2700
10046,95,1,2,16,2700
10047,95,0,2,16,2700
10048,95,1,2,16,2700
10049,95,0,2,16,2700
10050,95,1,2,16,2700
10051,95,0,2,16,2700
10052,95,1,2,16,2700
10053,95,1,2,16,2700
10054,95,0,2,16,2700
10055,95,0,2,16,2700
10056,95,1,2,16,2700
10057,16,0,2,55,785
10057,58,1,2,5,8640
10058,16,0,2,55,785
10059,16,0,2,55,785
10060,16,0,2,55,785
10061,16,0,2,55,785
10061,58,1,2,5,8640
10062,16,0,2,55,785
10063,16,0,2,55,785
10064,16,0,2,55,785
10065,16,0,2,55,785
10066,16,0,2,56,771
10066,18,0,2,69,626
10066,58,1,2,6,7200
10066,60,1,2,55,785
10067,16,1,2,59,732
10067,58,0,2,10,4320
10068,18,1,2,66,655
10068,60,0,2,56,771
10070,60,0,2,56,771
10070,66,0,2,45,960
10071,60,1,2,55,785
10071,66,1,2,44,982
10072,60,0,2,56,771
10072,66,0,2,45,960
10073,60,1,2,54,800
10073,66,1,2,44,982
10075,60,0,2,56,771
10075,65,0,2,10,4320
10075,66,0,2,45,960
10076,60,1,2,54,800
10076,65,1,2,6,7200
10076,66,1,2,44,982
10077,60,1,2,54,800
10078,60,0,2,56,771
10079,60,0,2,56,771
10080,60,1,2,54,800
10081,60,0,2,56,771
10082,60,1,2,54,800
10083,60,1,2,54,800
10085,60,1,2,54,800
10086,60,0,2,56,771
10086,95,1,2,16,2700
10087,29,0,2,30,1440
10087,36,1,2,27,1600
10087,95,0,2,16,2700
10088,29,1,2,30,1440
10089,29,0,2,30,1440
10090,29,1,2,30,1440
10091,29,0,2,30,1440
10092,29,1,2,30,1440
10093,29,0,2,30,1440
10093,36,1,2,27,1600
10094,29,1,2,30,1440
10094,36,0,2,23,1878
10095,29,0,2,30,1440
10096,29,1,2,30,1440
10097,29,0,2,30,1440
10098,29,1,2,30,1440
10099,29,0,2,29,1490
10100,29,1,2,30,1440
10101,29,0,2,29,1490
10101,36,1,2,27,1600
10102,29,1,2,30,1440
10102,36,0,2,23,1878
10103,29,0,2,29,1490
10104,29,1,2,30,1440
10105,29,0,2,29,1490
10105,36,1,2,27,1600
10106,29,0,2,29,1490
10107,29,1,2,30,1440
10108,29,0,2,30,1440
10109,29,1,2,30,1440
10110,29,1,2,30,1440
10110,36,0,2,23,1878
10111,29,0,2,30,1440
10111,36,1,2,27,1600
10112,20,0,2,22,1964
10113,20,1,2,21,2057
10114,20,0,2,22,1964
10114,29,0,2,30,1440
10115,20,1,2,21,2057
10115,29,1,2,30,1440
10116,68,0,2,18,2400
10117,68,1,2,18,2400
10118,68,1,2,18,2400
10119,68,0,2,18,2400
10120,68,0,2,18,2400
