DGUID,Location,"Population percentage change, 2016 to 2021"
2021S05076020800.00,6020800.00 [CT] (Man.),29.0
2021S05076020700.00,6020700.00 [CT] (Man.),13.4
2021S05076020600.00,6020600.00 [CT] (Man.),11.8
2021S05076020595.02,6020595.02 [CT] (Man.),	-1.3
2021S05076020595.01,6020595.01 [CT] (Man.),5.0
2021S05076020590.04,6020590.04 [CT] (Man.),2.1
2021S05076020590.03,6020590.03 [CT] (Man.),6.3
2021S05076020590.02,6020590.02 [CT] (Man.),4.7
2021S05076020585.00,6020585.00 [CT] (Man.),	-7.4
2021S05076020580.00,6020580.00 [CT] (Man.),2.7
2021S05076020570.00,6020570.00 [CT] (Man.),24.5
2021S05076020560.15,6020560.15 [CT] (Man.),	-0.9
2021S05076020560.14,6020560.14 [CT] (Man.),2.8
2021S05076020560.13,6020560.13 [CT] (Man.),7.2
2021S05076020560.12,6020560.12 [CT] (Man.),	-0.9
2021S05076020560.11,6020560.11 [CT] (Man.),69.8
2021S05076020560.10,6020560.10 [CT] (Man.),63.0
2021S05076020560.09,6020560.09 [CT] (Man.),8.6
2021S05076020560.08,6020560.08 [CT] (Man.),9.6
2021S05076020560.05,6020560.05 [CT] (Man.),4.0
2021S05076020560.04,6020560.04 [CT] (Man.),	-3.2
2021S05076020560.01,6020560.01 [CT] (Man.),	-1.3
2021S05076020553.00,6020553.00 [CT] (Man.),2.7
2021S05076020552.02,6020552.02 [CT] (Man.),	-0.5
2021S05076020552.01,6020552.01 [CT] (Man.),5.2
2021S05076020551.00,6020551.00 [CT] (Man.),4.3
2021S05076020550.00,6020550.00 [CT] (Man.),4.7
2021S05076020542.00,6020542.00 [CT] (Man.),12.4
2021S05076020541.00,6020541.00 [CT] (Man.),4.4
2021S05076020540.04,6020540.04 [CT] (Man.),2.5
2021S05076020540.03,6020540.03 [CT] (Man.),	-0.4
2021S05076020540.02,6020540.02 [CT] (Man.),	-1.1
2021S05076020540.01,6020540.01 [CT] (Man.),	-4.2
2021S05076020539.02,6020539.02 [CT] (Man.),	-1.2
2021S05076020539.01,6020539.01 [CT] (Man.),4.0
2021S05076020538.00,6020538.00 [CT] (Man.),	-2.0
2021S05076020537.03,6020537.03 [CT] (Man.),0.1
2021S05076020537.02,6020537.02 [CT] (Man.),	-1.0
2021S05076020537.01,6020537.01 [CT] (Man.),0.6
2021S05076020536.00,6020536.00 [CT] (Man.),2.9
2021S05076020535.00,6020535.00 [CT] (Man.),2.1
2021S05076020534.00,6020534.00 [CT] (Man.),0.3
2021S05076020533.00,6020533.00 [CT] (Man.),	-4.8
2021S05076020532.00,6020532.00 [CT] (Man.),8.6
2021S05076020531.00,6020531.00 [CT] (Man.),9.5
2021S05076020530.00,6020530.00 [CT] (Man.),	-0.9
2021S05076020522.02,6020522.02 [CT] (Man.),	-3.9
2021S05076020522.01,6020522.01 [CT] (Man.),	-1.7
2021S05076020521.02,6020521.02 [CT] (Man.),	-0.7
2021S05076020521.01,6020521.01 [CT] (Man.),0.3
2021S05076020520.05,6020520.05 [CT] (Man.),8.5
2021S05076020520.04,6020520.04 [CT] (Man.),21.0
2021S05076020520.03,6020520.03 [CT] (Man.),22.3
2021S05076020520.02,6020520.02 [CT] (Man.),3.0
2021S05076020510.06,6020510.06 [CT] (Man.),	-5.9
2021S05076020510.03,6020510.03 [CT] (Man.),32.2
2021S05076020510.02,6020510.02 [CT] (Man.),	-7.3
2021S05076020503.00,6020503.00 [CT] (Man.),	-4.4
2021S05076020502.00,6020502.00 [CT] (Man.),	-1.0
2021S05076020501.03,6020501.03 [CT] (Man.),11.3
2021S05076020501.02,6020501.02 [CT] (Man.),6.7
2021S05076020501.01,6020501.01 [CT] (Man.),11.3
2021S05076020500.13,6020500.13 [CT] (Man.),278.3
2021S05076020500.12,6020500.12 [CT] (Man.),52.1
2021S05076020500.11,6020500.11 [CT] (Man.),8.2
2021S05076020500.10,6020500.10 [CT] (Man.),	-0.9
2021S05076020500.09,6020500.09 [CT] (Man.),	-7.3
2021S05076020500.08,6020500.08 [CT] (Man.),	-3.7
2021S05076020500.07,6020500.07 [CT] (Man.),4.1
2021S05076020500.04,6020500.04 [CT] (Man.),0.7
2021S05076020500.02,6020500.02 [CT] (Man.),0.2
2021S05076020500.01,6020500.01 [CT] (Man.),11.4
2021S05076020161.02,6020161.02 [CT] (Man.),17.6
2021S05076020161.01,6020161.01 [CT] (Man.),	-15.9
2021S05076020160.00,6020160.00 [CT] (Man.),1.0
2021S05076020150.02,6020150.02 [CT] (Man.),10.9
2021S05076020150.01,6020150.01 [CT] (Man.),	-3.6
2021S05076020142.04,6020142.04 [CT] (Man.),	-0.1
2021S05076020142.03,6020142.03 [CT] (Man.),6.8
2021S05076020142.02,6020142.02 [CT] (Man.),	-1.7
2021S05076020142.01,6020142.01 [CT] (Man.),4.3
2021S05076020141.02,6020141.02 [CT] (Man.),	-0.4
2021S05076020141.01,6020141.01 [CT] (Man.),8.9
2021S05076020140.05,6020140.05 [CT] (Man.),13.2
2021S05076020140.04,6020140.04 [CT] (Man.),122.0
2021S05076020140.02,6020140.02 [CT] (Man.),0.7
2021S05076020140.01,6020140.01 [CT] (Man.),	-1.8
