,CTUID,DGUID,CTNAME,LANDAREA,PRUID,pop_density,transit_users,pop_change,poverty_rate,low_income
0,6020520.05,2021S05076020520.05,520.05,26.3221,46,27.5,0.0,8.5,0.0,5.5
1,6020001.0,2021S05076020001.00,1.0,1.7766,46,2371.4,7.8,-1.5,6.2,7.4
2,6020002.0,2021S05076020002.00,2.0,1.8471,46,2999.3,12.7,5.8,8.5,13.9
3,6020003.0,2021S05076020003.00,3.0,1.4086,46,3657.5,14.5,-0.2,11.8,13.4
4,6020005.0,2021S05076020005.00,5.0,2.3718,46,2323.6,3.8,-4.4,1.7,3.6
5,6020006.0,2021S05076020006.00,6.0,2.2736,46,2273.5,9.0,-2.9,10.4,13.5
6,6020007.0,2021S05076020007.00,7.0,3.1851,46,1269.0,6.8,6.5,9.1,14.4
7,6020008.0,2021S05076020008.00,8.0,1.1224,46,2539.2,3.4,-4.2,6.2,6.1
8,6020009.0,2021S05076020009.00,9.0,0.9887,46,3033.3,3.8,-2.7,4.5,5.8
9,6020010.0,2021S05076020010.00,10.0,1.7475,46,3064.9,8.9,-0.3,7.0,8.5
10,6020011.0,2021S05076020011.00,11.0,0.6151,46,10695.8,14.1,1.8,12.7,14.0
11,6020012.0,2021S05076020012.00,12.0,0.7894,46,6447.9,22.7,4.5,21.3,26.1
12,6020013.0,2021S05076020013.00,13.0,0.9886,46,2352.8,30.3,39.0,22.2,23.2
13,6020014.0,2021S05076020014.00,14.0,0.6845,46,9615.8,21.4,11.2,21.6,27.9
14,6020015.0,2021S05076020015.00,15.0,0.9586,46,6885.0,29.5,9.0,30.8,35.8
15,6020016.0,2021S05076020016.00,16.0,0.4723,46,4979.9,10.4,-8.1,21.4,20.6
16,6020017.0,2021S05076020017.00,17.0,0.6095,46,5644.0,13.1,2.4,11.6,11.8
17,6020018.0,2021S05076020018.00,18.0,0.8319,46,3311.7,9.1,-2.1,7.2,11.3
18,6020019.0,2021S05076020019.00,19.0,1.6732,46,1903.5,11.8,-1.6,8.8,11.8
19,6020020.0,2021S05076020020.00,20.0,0.6876,46,3846.7,9.3,6.0,9.0,10.8
20,6020021.0,2021S05076020021.00,21.0,0.8422,46,6766.8,17.7,-4.5,16.2,19.8
21,6020022.0,2021S05076020022.00,22.0,0.5678,46,7710.5,32.1,-6.7,32.9,40.2
22,6020023.0,2021S05076020023.00,23.0,0.4263,46,12207.4,34.3,-2.4,28.2,37.6
23,6020024.0,2021S05076020024.00,24.0,0.9489,46,1422.7,0.0,22.0,15.2,17.5
24,6020025.0,2021S05076020025.00,25.0,1.0469,46,3937.3,16.0,8.7,27.5,43.7
25,6020026.0,2021S05076020026.00,26.0,0.5787,46,3697.9,23.8,3.8,17.2,41.6
26,6020027.0,2021S05076020027.00,27.0,0.5888,46,2488.1,20.8,2.8,17.4,19.7
27,6020028.0,2021S05076020028.00,28.0,0.5729,46,7971.7,21.8,-9.3,18.6,26.0
28,6020029.0,2021S05076020029.00,29.0,0.7028,46,7138.6,14.2,-4.8,9.2,13.0
29,6020030.0,2021S05076020030.00,30.0,1.0113,46,3804.0,11.5,-1.0,2.9,8.9
30,6020031.0,2021S05076020031.00,31.0,2.5978,46,921.9,8.9,-0.5,5.9,8.5
