CTUID,DGUID,CTNAME,LANDAREA,PRUID
"6020520.05",2021S05076020520.05,"0520.05",26.3221,"46"
"6020001.00",2021S05076020001.00,"0001.00",1.7766,"46"
"6020002.00",2021S05076020002.00,"0002.00",1.8471,"46"
"6020003.00",2021S05076020003.00,"0003.00",1.4086,"46"
"6020005.00",2021S05076020005.00,"0005.00",2.3718,"46"
"6020006.00",2021S05076020006.00,"0006.00",2.2736,"46"
"6020007.00",2021S05076020007.00,"0007.00",3.1851,"46"
"6020008.00",2021S05076020008.00,"0008.00",1.1224,"46"
"6020009.00",2021S05076020009.00,"0009.00",0.9887,"46"
"6020010.00",2021S05076020010.00,"0010.00",1.7475,"46"
"6020011.00",2021S05076020011.00,"0011.00",0.6151,"46"
"6020012.00",2021S05076020012.00,"0012.00",0.7894,"46"
"6020013.00",2021S05076020013.00,"0013.00",0.9886,"46"
"6020014.00",2021S05076020014.00,"0014.00",0.6845,"46"
"6020015.00",2021S05076020015.00,"0015.00",0.9586,"46"
"6020016.00",2021S05076020016.00,"0016.00",0.4723,"46"
"6020017.00",2021S05076020017.00,"0017.00",0.6095,"46"
"6020018.00",2021S05076020018.00,"0018.00",0.8319,"46"
"6020019.00",2021S05076020019.00,"0019.00",1.6732,"46"
"6020020.00",2021S05076020020.00,"0020.00",0.6876,"46"
"6020021.00",2021S05076020021.00,"0021.00",0.8422,"46"
"6020022.00",2021S05076020022.00,"0022.00",0.5678,"46"
"6020023.00",2021S05076020023.00,"0023.00",0.4263,"46"
"6020024.00",2021S05076020024.00,"0024.00",0.9489,"46"
"6020025.00",2021S05076020025.00,"0025.00",1.0469,"46"
"6020026.00",2021S05076020026.00,"0026.00",0.5787,"46"
"6020027.00",2021S05076020027.00,"0027.00",0.5888,"46"
"6020028.00",2021S05076020028.00,"0028.00",0.5729,"46"
"6020029.00",2021S05076020029.00,"0029.00",0.7028,"46"
"6020030.00",2021S05076020030.00,"0030.00",1.0113,"46"
"6020031.00",2021S05076020031.00,"0031.00",2.5978,"46"
"6020032.00",2021S05076020032.00,"0032.00",2.1308,"46"
"6020033.00",2021S05076020033.00,"0033.00",0.9414,"46"
"6020034.00",2021S05076020034.00,"0034.00",0.7731,"46"
"6020035.00",2021S05076020035.00,"0035.00",0.4953,"46"
"6020036.00",2021S05076020036.00,"0036.00",0.5365,"46"
"6020037.00",2021S05076020037.00,"0037.00",2.2361,"46"
"6020038.00",2021S05076020038.00,"0038.00",1.3391,"46"
"6020039.00",2021S05076020039.00,"0039.00",0.9237,"46"
"6020040.00",2021S05076020040.00,"0040.00",0.5906,"46"
"6020041.00",2021S05076020041.00,"0041.00",0.9994,"46"
"6020042.00",2021S05076020042.00,"0042.00",0.4795,"46"
"6020043.00",2021S05076020043.00,"0043.00",1.2806,"46"
"6020044.00",2021S05076020044.00,"0044.00",1.0154,"46"
"6020045.00",2021S05076020045.00,"0045.00",1.0435,"46"
"6020046.00",2021S05076020046.00,"0046.00",0.5105,"46"
"6020047.00",2021S05076020047.00,"0047.00",1.1023,"46"
"6020048.00",2021S05076020048.00,"0048.00",1.0742,"46"
"6020049.00",2021S05076020049.00,"0049.00",0.9576,"46"
"6020052.00",2021S05076020052.00,"0052.00",0.8217,"46"
"6020103.00",2021S05076020103.00,"0103.00",1.592,"46"
"6020104.00",2021S05076020104.00,"0104.00",1.2842,"46"
"6020105.00",2021S05076020105.00,"0105.00",1.0191,"46"
"6020111.00",2021S05076020111.00,"0111.00",1.4917,"46"
"6020113.00",2021S05076020113.00,"0113.00",1.2033,"46"
"6020114.00",2021S05076020114.00,"0114.00",0.8444,"46"
"6020115.00",2021S05076020115.00,"0115.00",1.1179,"46"
"6020116.00",2021S05076020116.00,"0116.00",1.6127,"46"
"6020117.00",2021S05076020117.00,"0117.00",1.7474,"46"
"6020121.00",2021S05076020121.00,"0121.00",0.7994,"46"
"6020123.00",2021S05076020123.00,"0123.00",1.6154,"46"
"6020131.00",2021S05076020131.00,"0131.00",1.3703,"46"
"6020132.00",2021S05076020132.00,"0132.00",1.0723,"46"
"6020133.00",2021S05076020133.00,"0133.00",1.3522,"46"
"6020134.00",2021S05076020134.00,"0134.00",2.074,"46"
"6020502.00",2021S05076020502.00,"0502.00",2.2276,"46"
"6020503.00",2021S05076020503.00,"0503.00",2.2362,"46"
"6020530.00",2021S05076020530.00,"0530.00",0.7271,"46"
"6020531.00",2021S05076020531.00,"0531.00",1.596,"46"
"6020532.00",2021S05076020532.00,"0532.00",1.0197,"46"
"6020533.00",2021S05076020533.00,"0533.00",1.7176,"46"
"6020534.00",2021S05076020534.00,"0534.00",1.0167,"46"
"6020535.00",2021S05076020535.00,"0535.00",1.4025,"46"
"6020536.00",2021S05076020536.00,"0536.00",4.2538,"46"
"6020538.00",2021S05076020538.00,"0538.00",1.54,"46"
