,route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,is_freq,Unnamed: 0
0,10,2,47,St. Boniface via Provencher,0,1-10-1,2565,1,False,
1,10,2,48,Wolseley via Tache,1,1-10-1,869,1,False,
2,10,2,49,St. Boniface via Tache,0,1-10-1,870,1,False,
3,10,2,50,Wolseley-Provencher via Provencher,1,1-10-1,871,1,False,
4,10,2,51,St. Boniface via Provencher,0,1-10-1,872,1,False,
5,10,2,52,Wolseley via Tache,1,1-10-1,869,1,False,
6,10,2,55,St. Boniface via Tache,0,1-10-2,870,1,False,
7,10,2,56,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
8,10,2,57,St. Boniface via Provencher,0,1-10-2,872,1,False,
9,10,2,58,Wolseley via Tache,1,1-10-2,869,1,False,
10,10,2,59,St. Boniface via Tache,0,1-10-2,870,1,False,
11,10,2,60,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
12,10,2,61,St. Boniface via Tache,0,1-10-2,870,1,False,
13,10,2,62,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
14,10,2,63,St. Boniface via Tache,0,1-10-2,870,1,False,
15,10,2,64,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
16,10,2,65,St. Boniface via Tache,0,1-10-2,870,1,False,
17,10,2,66,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
18,10,2,67,St. Boniface via Tache,0,1-10-2,870,1,False,
19,10,2,68,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
20,10,2,69,St. Boniface via Tache,0,1-10-2,870,1,False,
21,10,2,70,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
22,10,2,71,St. Boniface via Tache,0,1-10-2,870,1,False,
23,10,2,72,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
24,10,2,73,St. Boniface via Tache,0,1-10-2,870,1,False,
25,10,2,74,Wolseley-Provencher via Provencher,1,1-10-2,871,1,False,
26,10,2,75,St. Boniface via Provencher,0,1-10-2,872,1,False,
27,10,2,76,Downtown,1,1-10-2,3121,1,False,
28,10,2,79,Wolseley via Provencher,1,1-10-3,877,1,False,
29,10,2,80,St. Boniface via Provencher,0,1-10-3,872,1,False,
30,10,2,81,Wolseley via Tache,1,1-10-3,869,1,False,
31,10,2,82,St. Boniface via Tache,0,1-10-3,870,1,False,
32,10,2,83,Wolseley-Provencher via Provencher,1,1-10-3,871,1,False,
33,10,2,84,St. Boniface via Provencher,0,1-10-3,872,1,False,
34,10,2,85,Wolseley via Tache,1,1-10-3,869,1,False,
35,10,2,86,St. Boniface via Provencher,0,1-10-3,872,1,False,
36,10,2,87,Wolseley via Tache,1,1-10-3,869,1,False,
37,10,2,88,St. Boniface via Provencher,0,1-10-3,872,1,False,
38,10,2,89,Wolseley via Tache,1,1-10-3,869,1,False,
39,10,2,90,St. Boniface via Provencher,0,1-10-3,872,1,False,
40,10,2,91,Wolseley via Tache,1,1-10-3,869,1,False,
41,10,2,92,St. Boniface via Provencher,0,1-10-3,872,1,False,
42,10,2,93,Wolseley via Tache,1,1-10-3,869,1,False,
43,10,2,94,St. Boniface via Tache,0,1-10-3,870,1,False,
44,10,2,95,Wolseley-Provencher via Provencher,1,1-10-3,871,1,False,
45,10,2,96,St. Boniface via Tache,0,1-10-3,870,1,False,
46,10,2,97,Wolseley-Provencher via Provencher,1,1-10-3,871,1,False,
47,10,2,98,St. Boniface via Tache,0,1-10-3,870,1,False,
48,10,2,99,Wolseley-Provencher via Provencher,1,1-10-3,871,1,False,
49,10,2,100,St. Boniface via Provencher,0,1-10-3,872,1,False,
50,10,2,101,Wolseley via Tache,1,1-10-3,869,1,False,
51,10,2,102,St. Boniface via Provencher,0,1-10-3,872,1,False,
52,10,2,103,Wolseley via Tache,1,1-10-3,869,1,False,
53,10,2,104,St. Boniface via Provencher,0,1-10-3,872,1,False,
54,10,2,105,Wolseley via Tache,1,1-10-3,869,1,False,
