route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
10,2,47,St. Boniface via Provencher,0,1-10-1,2565,1
10,2,48,Wolseley via Tache,1,1-10-1,869,1
10,2,49,St. Boniface via Tache,0,1-10-1,870,1
10,2,50,Wolseley-Provencher via Provencher,1,1-10-1,871,1
10,2,51,St. Boniface via Provencher,0,1-10-1,872,1
10,2,52,Wolseley via Tache,1,1-10-1,869,1
10,2,55,St. Boniface via Tache,0,1-10-2,870,1
10,2,56,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,57,St. Boniface via Provencher,0,1-10-2,872,1
10,2,58,Wolseley via Tache,1,1-10-2,869,1
10,2,59,St. Boniface via Tache,0,1-10-2,870,1
10,2,60,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,61,St. Boniface via Tache,0,1-10-2,870,1
10,2,62,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,63,St. Boniface via Tache,0,1-10-2,870,1
10,2,64,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,65,St. Boniface via Tache,0,1-10-2,870,1
10,2,66,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,67,St. Boniface via Tache,0,1-10-2,870,1
10,2,68,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,69,St. Boniface via Tache,0,1-10-2,870,1
10,2,70,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,71,St. Boniface via Tache,0,1-10-2,870,1
10,2,72,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,73,St. Boniface via Tache,0,1-10-2,870,1
10,2,74,Wolseley-Provencher via Provencher,1,1-10-2,871,1
10,2,75,St. Boniface via Provencher,0,1-10-2,872,1
10,2,76,Downtown,1,1-10-2,3121,1
10,2,79,Wolseley via Provencher,1,1-10-3,877,1
10,2,80,St. Boniface via Provencher,0,1-10-3,872,1
10,2,81,Wolseley via Tache,1,1-10-3,869,1
10,2,82,St. Boniface via Tache,0,1-10-3,870,1
10,2,83,Wolseley-Provencher via Provencher,1,1-10-3,871,1
10,2,84,St. Boniface via Provencher,0,1-10-3,872,1
10,2,85,Wolseley via Tache,1,1-10-3,869,1
10,2,86,St. Boniface via Provencher,0,1-10-3,872,1
10,2,87,Wolseley via Tache,1,1-10-3,869,1
10,2,88,St. Boniface via Provencher,0,1-10-3,872,1
10,2,89,Wolseley via Tache,1,1-10-3,869,1
10,2,90,St. Boniface via Provencher,0,1-10-3,872,1
10,2,91,Wolseley via Tache,1,1-10-3,869,1
10,2,92,St. Boniface via Provencher,0,1-10-3,872,1
10,2,93,Wolseley via Tache,1,1-10-3,869,1
10,2,94,St. Boniface via Tache,0,1-10-3,870,1
10,2,95,Wolseley-Provencher via Provencher,1,1-10-3,871,1
10,2,96,St. Boniface via Tache,0,1-10-3,870,1
10,2,97,Wolseley-Provencher via Provencher,1,1-10-3,871,1
10,2,98,St. Boniface via Tache,0,1-10-3,870,1
10,2,99,Wolseley-Provencher via Provencher,1,1-10-3,871,1
10,2,100,St. Boniface via Provencher,0,1-10-3,872,1
10,2,101,Wolseley via Tache,1,1-10-3,869,1
10,2,102,St. Boniface via Provencher,0,1-10-3,872,1
10,2,103,Wolseley via Tache,1,1-10-3,869,1
10,2,104,St. Boniface via Provencher,0,1-10-3,872,1
10,2,105,Wolseley via Tache,1,1-10-3,869,1
